"distance","spectrumID","i"
186.487532857553,"spec-5328-55982-0218.fits",906
188.550336853307,"spec-5324-55947-0886.fits",828
197.397539570426,"spec-1353-53083-0579.fits",520
218.072911959981,"spec-2557-54178-0009.fits",274
226.291482598125,"spec-5301-55987-0190.fits",235
226.30637064595,"spec-2118-53820-0538.fits",1278
231.354924541647,"spec-7235-56603-0338.fits",213
236.246342402901,"spec-2188-54595-0112.fits",1094
240.124001219205,"spec-1081-52531-0173.fits",1146
242.850985446256,"spec-2382-54169-0116.fits",296
243.175182954838,"spec-7089-56661-0076.fits",62
246.810976964547,"spec-1788-54468-0050.fits",1115
247.424863996033,"spec-6064-56097-0818.fits",1326
247.994801063864,"spec-7255-56597-0896.fits",525
265.426027562607,"spec-1054-52516-0291.fits",1496
273.155819762043,"spec-2161-53878-0604.fits",1266
281.560195260344,"spec-5015-55707-0294.fits",215
283.878404290409,"spec-6439-56358-0432.fits",70
310.596476164587,"spec-3808-55513-0602.fits",44
323.170471349894,"spec-1229-52723-0306.fits",1563
327.01936007042,"spec-0991-52707-0359.fits",1244
333.257271820608,"spec-1105-52937-0368.fits",1462
353.269637988746,"spec-5454-56015-0641.fits",368
358.180292191667,"spec-0995-52731-0137.fits",1284
361.936529568912,"spec-2359-53826-0199.fits",384
364.593091474679,"spec-6512-56567-0742.fits",2063
373.932693803889,"spec-1311-52765-0413.fits",68
384.766185506286,"spec-6053-56091-0724.fits",2276
392.644010035595,"spec-2422-54096-0519.fits",1655
395.719303496213,"spec-4176-55682-0865.fits",1967
404.892577943221,"spec-1232-52731-0467.fits",215
411.523086815275,"spec-2124-53770-0113.fits",166
418.409974393498,"spec-5331-55976-0504.fits",361
424.183942526129,"spec-1672-53460-0251.fits",936
426.844873190699,"spec-0509-52374-0631.fits",1414
439.345928713484,"spec-5451-56010-0798.fits",1570
440.59555254583,"spec-6049-56091-0278.fits",362
450.667597176183,"spec-6466-56310-0992.fits",1971
470.871934798691,"spec-1997-53442-0041.fits",454
492.545034384061,"spec-1568-53169-0578.fits",951
494.201789226366,"spec-1382-53115-0469.fits",1127
501.684394922785,"spec-1959-53440-0382.fits",378
519.278979454688,"spec-4242-55476-0780.fits",396
536.565296646515,"spec-2620-54339-0453.fits",424
551.774422639614,"spec-1026-52558-0067.fits",209
563.760381107191,"spec-5027-56218-0605.fits",1781
564.008552855762,"spec-6620-56368-0501.fits",1611
570.530657252355,"spec-6406-56330-0456.fits",72
572.470644466052,"spec-2356-53786-0499.fits",113
574.762587972096,"spec-5336-55957-0105.fits",1899
601.743858584589,"spec-5111-55840-0716.fits",1443
603.234079304876,"spec-3755-55504-0496.fits",1375
604.947670879914,"spec-6125-56273-0414.fits",1767
608.036907280436,"spec-0632-52071-0263.fits",516
619.203642719918,"spec-1719-53876-0095.fits",71
621.962601611621,"spec-6754-56414-0896.fits",2049
623.913625109439,"spec-7301-56746-0454.fits",118
624.111648498795,"spec-0314-51641-0211.fits",826
630.069282918326,"spec-6465-56279-0857.fits",1943
652.151487539964,"spec-6447-56362-0485.fits",1814
667.843841220968,"spec-4801-55653-0130.fits",2217
671.682144007859,"spec-2261-53612-0404.fits",24
682.054074473329,"spec-5397-55944-0285.fits",2191
715.218252931427,"spec-2913-54526-0229.fits",23
718.533864241956,"spec-7395-57131-0208.fits",1143
745.080321871895,"spec-7258-56605-0453.fits",1638
751.349687509624,"spec-6461-56329-0925.fits",1946
761.666822427339,"spec-4870-55923-0229.fits",1883
773.773317905768,"spec-0924-52409-0636.fits",234
774.656267816629,"spec-1757-53083-0437.fits",33
777.330145807798,"spec-6803-56402-0747.fits",2246
781.626798749485,"spec-5972-56334-0558.fits",161
783.653634179712,"spec-4058-55358-0634.fits",2049
811.024648059521,"spec-6161-56238-0336.fits",1351
813.918587996824,"spec-4347-55830-0615.fits",2073
835.041591271858,"spec-4611-55603-0878.fits",48
856.710091617242,"spec-1626-53472-0286.fits",40
881.183408213986,"spec-5793-56337-0530.fits",772
885.428699457635,"spec-6145-56266-0755.fits",1927
902.069157142958,"spec-6656-56624-0929.fits",2260
902.297794103808,"spec-7424-57160-0977.fits",2182
953.998084009306,"spec-4039-55648-0759.fits",2201
965.445653512533,"spec-4494-55569-0447.fits",668
970.515726199513,"spec-1728-53228-0337.fits",962
982.089719567312,"spec-0390-51900-0010.fits",40
1015.70470032024,"spec-4464-55866-0887.fits",2262
1038.60647203026,"spec-5047-55833-0214.fits",483
1039.58938945843,"spec-1301-52976-0123.fits",861
1071.08507275947,"spec-1437-53046-0166.fits",1630
1170.2471004455,"spec-6008-56093-0606.fits",68
1174.59679521029,"spec-0750-52235-0328.fits",1295
1214.2271280316,"spec-4391-55866-0036.fits",186
1219.49009740592,"spec-2634-54110-0244.fits",324
1266.54742053954,"spec-7257-56658-0239.fits",1349
1271.79488324299,"spec-2179-53555-0564.fits",1131
1362.31604849928,"spec-1923-53319-0383.fits",856
1471.78241690158,"spec-5302-55896-0613.fits",622
2069.64514004244,"spec-1397-53119-0412.fits",390
4172.90227886331,"spec-0935-52643-0464.fits",416
4355.61419032479,"spec-1685-53463-0384.fits",229
