"distance","spectrumID","i"
141.783556703129,"spec-6713-56402-0294.fits",448
155.702095699147,"spec-6489-56329-0866.fits",1768
156.965667858114,"spec-6052-56092-0294.fits",1257
157.739606158532,"spec-5436-56015-0440.fits",589
157.890236803219,"spec-6303-56539-0090.fits",991
158.598699714602,"spec-6452-56366-0270.fits",185
158.685733568076,"spec-5302-55896-0513.fits",366
161.041975987314,"spec-4690-55653-0140.fits",2353
161.168013288056,"spec-4058-55358-0100.fits",1126
161.379782466665,"spec-5783-56017-0903.fits",1526
163.696617660235,"spec-3804-55267-0936.fits",29
165.350104580731,"spec-5172-56071-0705.fits",1080
165.430224815055,"spec-6184-56267-0854.fits",754
165.567285854576,"spec-3665-55247-0718.fits",1156
165.973367080084,"spec-3679-55209-0232.fits",72
166.416327921139,"spec-4221-55443-0556.fits",1164
167.791354380257,"spec-4783-55652-0180.fits",176
168.059111679009,"spec-3866-55623-0134.fits",356
168.385600345528,"spec-5461-56018-0838.fits",535
168.833989273959,"spec-5320-55999-0680.fits",856
169.004725423507,"spec-4837-55707-0560.fits",878
170.758304274432,"spec-6673-56419-0318.fits",359
171.505309929899,"spec-5768-56017-0792.fits",1145
171.879284472752,"spec-4452-55536-0019.fits",405
172.123069239432,"spec-5771-56011-0362.fits",1193
172.158210863424,"spec-4211-55446-0538.fits",1440
172.89404609991,"spec-4227-55481-0937.fits",220
172.955368152553,"spec-4766-55677-0472.fits",757
173.193680112715,"spec-3586-55181-0634.fits",1186
173.418989811482,"spec-4375-55889-0334.fits",980
173.467221052812,"spec-3757-55508-0408.fits",399
173.519684014288,"spec-5361-55973-0680.fits",175
173.572484008679,"spec-6055-56102-0884.fits",1166
173.663646392714,"spec-4860-55691-0180.fits",2071
173.681586322356,"spec-6164-56181-0678.fits",149
174.017959206165,"spec-6411-56331-0302.fits",682
174.325184483522,"spec-6873-56541-0624.fits",354
174.475302603619,"spec-6838-56429-0064.fits",462
174.599966299372,"spec-4979-56045-0796.fits",238
174.698783124486,"spec-4242-55476-0852.fits",1807
174.703363358949,"spec-4834-55685-0798.fits",729
174.819061502443,"spec-4227-55481-0027.fits",690
175.15560723814,"spec-4538-55860-0742.fits",1139
175.200738563265,"spec-7081-56684-0350.fits",980
175.461750576488,"spec-6663-56338-0946.fits",896
175.899567102344,"spec-6664-56383-0936.fits",386
176.1638114745,"spec-5164-56067-0894.fits",1899
176.314375286585,"spec-4889-55709-0922.fits",858
176.352271638413,"spec-5165-56063-0877.fits",1086
176.565339023902,"spec-3769-55240-0558.fits",1103
176.935284387545,"spec-7400-57134-0696.fits",666
177.074413864163,"spec-7257-56658-0345.fits",64
177.1379004684,"spec-5368-56001-0828.fits",296
177.256011770878,"spec-5772-56003-0842.fits",1323
177.366487153524,"spec-3793-55214-0542.fits",104
177.986239083076,"spec-7155-56629-0104.fits",1563
178.105884396471,"spec-5418-56037-0940.fits",1070
178.145898651974,"spec-6023-56069-0112.fits",2249
178.734029121225,"spec-6720-56390-0594.fits",277
179.259882562012,"spec-4444-55538-0900.fits",256
179.298985794194,"spec-6836-56443-0752.fits",337
179.392161107756,"spec-5306-55926-0962.fits",541
179.496545418722,"spec-5475-56011-0394.fits",252
179.796317131357,"spec-4839-55703-0086.fits",1111
180.089586663613,"spec-5477-56030-0974.fits",1431
180.463384401502,"spec-5420-56009-0709.fits",1038
180.49533141272,"spec-3825-55533-0358.fits",172
180.911873778032,"spec-4192-55469-0350.fits",750
180.975164936764,"spec-3852-55243-0748.fits",1598
180.989306522462,"spec-7325-56717-0292.fits",344
181.240586828153,"spec-4006-55328-0784.fits",1136
181.314833943384,"spec-4864-55680-0360.fits",454
181.383159658049,"spec-6409-56306-0204.fits",443
181.460978662011,"spec-7256-56658-0397.fits",666
181.587808244116,"spec-7421-57159-0614.fits",1044
181.651165390887,"spec-5407-55926-0447.fits",766
181.657293622443,"spec-5985-56089-0260.fits",1037
181.815585979432,"spec-6049-56091-0184.fits",206
181.816369233962,"spec-5481-55983-0452.fits",894
181.852062159057,"spec-6665-56390-0442.fits",871
181.91436775098,"spec-7449-56740-0158.fits",926
181.971608864286,"spec-7254-56625-0443.fits",69
182.358676223476,"spec-5957-56210-0880.fits",513
182.409806147685,"spec-6446-56363-0156.fits",653
182.433309562953,"spec-6746-56386-0120.fits",201
182.562539801419,"spec-7253-56598-0446.fits",70
182.735385618426,"spec-6014-56072-0776.fits",563
182.908946078633,"spec-6795-56425-0654.fits",758
182.942639032956,"spec-6627-56369-0194.fits",2096
183.163111541395,"spec-6821-56396-0100.fits",248
183.320909760153,"spec-6783-56284-0978.fits",60
183.474967456714,"spec-6388-56309-0582.fits",2328
183.596825539924,"spec-5878-56033-0198.fits",1053
183.734081147348,"spec-5466-56033-0088.fits",834
183.736449567214,"spec-4238-55455-0010.fits",224
183.751372041642,"spec-6455-56370-0206.fits",1100
183.830605365353,"spec-6470-56334-0318.fits",604
183.870706787494,"spec-5024-55854-0104.fits",1402
183.931745987012,"spec-7254-56625-0488.fits",69
184.051622795619,"spec-3942-55338-0411.fits",307
